KWMTBOMO	NCBI Gene ID
KWMTBOMO00003.mrna1.p1	101741181
KWMTBOMO00006.mrna1.p1	101741407
KWMTBOMO00011.mrna1.p1	101741740
KWMTBOMO00012.mrna1.p1	119628879
KWMTBOMO00015.mrna1.p1	101739758
KWMTBOMO00017.mrna1.p1	105841884
KWMTBOMO00019.mrna1.p1	100384889
KWMTBOMO00021.mrna1.p1	732936
KWMTBOMO00022.mrna1.p1	101742469
KWMTBOMO00023.mrna1.p1	101740028
KWMTBOMO00025.mrna1.p1	101742610
KWMTBOMO00026.mrna1.p1	101742756
KWMTBOMO00028.mrna1.p1	101743052
KWMTBOMO00029.mrna1.p1	101742910
KWMTBOMO00031.mrna1.p1	101740565
KWMTBOMO00033.mrna1.p1	101743283
KWMTBOMO00037.mrna1.p1	101743424
KWMTBOMO00039.mrna1.p1	101743564
KWMTBOMO00045.mrna1.p1	101744149
KWMTBOMO00050.mrna1.p1	101741268
KWMTBOMO00051.mrna1.p1	101744433
KWMTBOMO00053.mrna1.p1	100270783
KWMTBOMO00056.mrna1.p1	101741691
KWMTBOMO00057.mrna1.p1	101741838
KWMTBOMO00059.mrna1.p1	100579140
KWMTBOMO00060.mrna1.p1	105842517
KWMTBOMO00064.mrna1.p1	101745111
KWMTBOMO00065.mrna1.p1	101745262
KWMTBOMO00067.mrna1.p1	101745405
KWMTBOMO00068.mrna1.p1	100328579
KWMTBOMO00076.mrna1.p1	101745545
KWMTBOMO00079.mrna1.p1	101745928
KWMTBOMO00086.mrna1.p1	101746594
KWMTBOMO00089.mrna1.p1	101742707
KWMTBOMO00090.mrna1.p1	105841890
KWMTBOMO00091.mrna1.p1	101742998
KWMTBOMO00097.mrna1.p1	101735670
KWMTBOMO00098.mrna1.p1	101735897
KWMTBOMO00100.mrna1.p1	101743284
KWMTBOMO00104.mrna1.p1	101736377
KWMTBOMO00105.mrna1.p1	101736593
KWMTBOMO00109.mrna1.p1	101743706
KWMTBOMO00112.mrna1.p1	692399
KWMTBOMO00120.mrna1.p1	101744584
